First Name,Frequency
Mary,0.02629
Patricia,0.01073
Linda,0.01035
Barbara,0.0098
Elizabeth,0.00937
Jennifer,0.00932
Maria,0.00828
Susan,0.00794
Margaret,0.00768
Dorothy,0.00727
Lisa,0.00704
Nancy,0.00669
Karen,0.00667
Betty,0.00666
Helen,0.00663
Sandra,0.00629
Donna,0.00583
Carol,0.00565
Ruth,0.00562
Sharon,0.00522
Michelle,0.00519
Laura,0.0051
Sarah,0.00508
Kimberly,0.00504
Deborah,0.00494
Jessica,0.0049
Shirley,0.00482
Cynthia,0.00469
Angela,0.00468
Melissa,0.00462
Brenda,0.00455
Amy,0.00451
Anna,0.0044
Rebecca,0.0043
Virginia,0.0043
Kathleen,0.00424
Pamela,0.00416
Martha,0.00412
Debra,0.00408
Amanda,0.00404
Stephanie,0.004
Carolyn,0.00385
Christine,0.00382
Marie,0.00379
Janet,0.00379
Catherine,0.00373
Frances,0.0037
Ann,0.00364
Joyce,0.00364
Diane,0.00359
Alice,0.00357
Julie,0.00348
Heather,0.00337
Teresa,0.00336
Doris,0.00335
Gloria,0.00335
Evelyn,0.00322
Jean,0.00315
Cheryl,0.00315
Mildred,0.00313
Katherine,0.00313
Joan,0.00306
Ashley,0.00303
Judith,0.00297
Rose,0.00296
Janice,0.00285
Kelly,0.00283
Nicole,0.00281
Judy,0.00276
Christina,0.00275
Kathy,0.00272
Theresa,0.00271
Beverly,0.00267
Denise,0.00264
Tammy,0.00259
Irene,0.00252
Jane,0.0025
Lori,0.00248
Rachel,0.00242
Marilyn,0.00241
Andrea,0.00236
Kathryn,0.00234
Louise,0.00229
Sara,0.00229
Anne,0.00228
Jacqueline,0.00228
Wanda,0.00226
Bonnie,0.00223
Julia,0.00223
Ruby,0.00221
Lois,0.0022
Tina,0.0022
Phyllis,0.00219
Norma,0.00218
Paula,0.00217
Diana,0.00216
Annie,0.00216
Lillian,0.00211
Emily,0.00208
Robin,0.00208
Peggy,0.00208
Crystal,0.00207
Gladys,0.00205
Rita,0.00204
Dawn,0.00202
Connie,0.002
Florence,0.002
Tracy,0.00197
Edna,0.00197
Tiffany,0.00195
Carmen,0.00195
Rosa,0.00194
Cindy,0.00192
Grace,0.00189
Wendy,0.00185
Victoria,0.0018
Edith,0.00179
Kim,0.00178
Sherry,0.00178
Sylvia,0.00177
Josephine,0.00177
Thelma,0.00175
Shannon,0.00175
Sheila,0.00175
Ethel,0.00174
Ellen,0.00173
Elaine,0.00173
Marjorie,0.00173
Carrie,0.00171
Charlotte,0.00169
Monica,0.00166
Esther,0.00166
Pauline,0.00165
Emma,0.00165
Juanita,0.00164
Anita,0.00162
Rhonda,0.00162
Hazel,0.00161
Amber,0.0016
Eva,0.00159
Debbie,0.00157
April,0.00154
Leslie,0.00154
Clara,0.00153
Lucille,0.00153
Jamie,0.00153
Joanne,0.0015
Eleanor,0.0015
Valerie,0.00149
Danielle,0.00149
Megan,0.00147
Alicia,0.00146
Suzanne,0.00145
Michele,0.00145
Gail,0.00145
Bertha,0.00143
Darlene,0.00142
Veronica,0.00142
Jill,0.00142
Erin,0.00141
Geraldine,0.00141
Lauren,0.00137
Cathy,0.00137
Joann,0.00136
Lorraine,0.00135
Lynn,0.00135
Sally,0.00135
Regina,0.00133
Erica,0.0013
Beatrice,0.0013
Dolores,0.00129
Bernice,0.00128
Audrey,0.00127
Yvonne,0.00126
Annette,0.00125
June,0.00125
Samantha,0.00124
Marion,0.00122
Dana,0.00122
Stacy,0.00121
Ana,0.0012
Renee,0.0012
Ida,0.00118
Vivian,0.00118
Roberta,0.00117
Holly,0.00117
Brittany,0.00117
Melanie,0.00116
Loretta,0.00115
Yolanda,0.00115
Jeanette,0.00115
Laurie,0.00114
Katie,0.00113
Kristen,0.00111
Vanessa,0.00111
Alma,0.00111
Sue,0.00111
Elsie,0.0011
Beth,0.0011
Jeanne,0.00109
Vicki,0.00109
Carla,0.00107
Tara,0.00107
Rosemary,0.00107
Eileen,0.00105
Terri,0.00105
Gertrude,0.00103
Lucy,0.00103
Tonya,0.00102
Ella,0.00101
Stacey,0.00101
Wilma,0.00099
Gina,0.00099
Kristin,0.00099
Jessie,0.00098
Natalie,0.00098
Agnes,0.00098
Vera,0.00098
Willie,0.00097
Charlene,0.00097
Bessie,0.00096
Delores,0.00095
Melinda,0.00094
Pearl,0.00094
Arlene,0.00094
Maureen,0.00092
Colleen,0.00092
Allison,0.00092
Tamara,0.00092
Joy,0.00091
Georgia,0.00091
Constance,0.00091
Lillie,0.0009
Claudia,0.0009
Jackie,0.0009
Marcia,0.0009
Tanya,0.00089
Nellie,0.00089
Minnie,0.00089
