Last Name,Frequency
Smith,0.01006
Johnson,0.0081
Williams,0.00699
Jones,0.00621
Brown,0.00621
Davis,0.0048
Miller,0.00424
Wilson,0.00339
Moore,0.00312
Taylor,0.00311
Anderson,0.00311
Thomas,0.00311
Jackson,0.0031
White,0.00279
Harris,0.00275
Martin,0.00273
Thompson,0.00269
Garcia,0.00254
Martinez,0.00234
Robinson,0.00233
Clark,0.00231
Rodriguez,0.00229
Lewis,0.00226
Lee,0.0022
Walker,0.00219
Hall,0.002
Allen,0.00199
Young,0.00193
Hernandez,0.00192
King,0.0019
Wright,0.00189
Lopez,0.00187
Hill,0.00187
Scott,0.00185
Green,0.00183
Adams,0.00174
Baker,0.00171
Gonzalez,0.00166
Nelson,0.00162
Carter,0.00162
Mitchell,0.0016
Perez,0.00155
Roberts,0.00153
Turner,0.00152
Phillips,0.00149
Campbell,0.00149
Parker,0.00146
Evans,0.00141
Edwards,0.00137
Collins,0.00134
Stewart,0.00133
Sanchez,0.0013
Morris,0.00125
Rogers,0.00123
Reed,0.00122
Cook,0.0012
Morgan,0.00118
Bell,0.00117
Murphy,0.00117
Bailey,0.00115
Rivera,0.00113
Cooper,0.00113
Richardson,0.00112
Cox,0.0011
Howard,0.0011
Ward,0.00108
Torres,0.00108
Peterson,0.00107
Gray,0.00106
Ramirez,0.00105
James,0.00105
Watson,0.00103
Brooks,0.00103
Kelly,0.00102
Sanders,0.001
Price,0.00099
Bennett,0.00099
Wood,0.00098
Barnes,0.00097
Ross,0.00096
Henderson,0.00095
Coleman,0.00095
Jenkins,0.00095
Perry,0.00094
Powell,0.00093
Long,0.00092
Patterson,0.00092
Hughes,0.00092
Flores,0.00092
Washington,0.00092
Butler,0.00091
Simmons,0.00091
Foster,0.00091
Gonzales,0.00087
Bryant,0.00087
Alexander,0.00085
Russell,0.00085
Griffin,0.00084
Diaz,0.00084
Hayes,0.00083
Myers,0.00083
Ford,0.00082
Hamilton,0.00082
Graham,0.00082
Sullivan,0.00081
Wallace,0.00081
Woods,0.0008
Cole,0.0008
West,0.0008
Jordan,0.00078
Owens,0.00078
Reynolds,0.00078
Fisher,0.00077
Ellis,0.00077
Harrison,0.00076
Gibson,0.00075
Mcdonald,0.00075
Cruz,0.00075
Marshall,0.00075
Ortiz,0.00075
Gomez,0.00075
Murray,0.00074
Freeman,0.00074
Wells,0.00073
Webb,0.00072
Simpson,0.0007
Stevens,0.0007
Tucker,0.0007
Porter,0.00069
Hunter,0.00069
Hicks,0.00069
Crawford,0.00068
Henry,0.00068
Boyd,0.00068
Mason,0.00068
Morales,0.00067
Kennedy,0.00067
Warren,0.00067
Dixon,0.00066
Ramos,0.00066
Reyes,0.00066
Burns,0.00065
Gordon,0.00065
Shaw,0.00065
Holmes,0.00065
Rice,0.00064
Robertson,0.00064
Hunt,0.00063
Black,0.00063
Daniels,0.00062
Palmer,0.00062
Mills,0.00061
Nichols,0.0006
Grant,0.0006
Knight,0.0006
Ferguson,0.00059
Rose,0.00059
Stone,0.00059
Hawkins,0.00059
Dunn,0.00058
Perkins,0.00058
Hudson,0.00058
Spencer,0.00057
Gardner,0.00057
Stephens,0.00057
Payne,0.00057
Pierce,0.00056
Berry,0.00056
Matthews,0.00056
Arnold,0.00056
Wagner,0.00055
Willis,0.00055
Ray,0.00055
Watkins,0.00055
Olson,0.00055
Carroll,0.00055
Duncan,0.00055
Snyder,0.00055
Hart,0.00054
Cunningham,0.00054
Bradley,0.00054
Lane,0.00054
Andrews,0.00054
Ruiz,0.00054
Harper,0.00054
Fox,0.00053
Riley,0.00053
Armstrong,0.00053
Carpenter,0.00053
Weaver,0.00053
Greene,0.00053
Lawrence,0.00052
Elliott,0.00052
Chavez,0.00052
Sims,0.00052
Austin,0.00052
Peters,0.00052
Kelley,0.00052
Franklin,0.00051
Lawson,0.00051
Fields,0.00051
Gutierrez,0.00051
Ryan,0.00051
Schmidt,0.00051
Carr,0.00051
Vasquez,0.00051
Castillo,0.00051
Wheeler,0.00051
Chapman,0.0005
Oliver,0.0005
Montgomery,0.00049
Richards,0.00049
Williamson,0.00049
